რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
იმერეთი ,ბაღდათი,სოფ. ფერსათის №2 საჯარო სკოლა,რეაბილიტაცია,"14,999.22"
იმერეთი ,ბაღდათი,სოფ. წითელხევის  საჯარო სკოლა,რეაბილიტაცია,"13,722.00"
იმერეთი ,ბაღდათი,სოფ. როხის საჯარო სკოლა,რეაბილიტაცია,"17,664.00"
იმერეთი ,ბაღდათი,სოფ. მეორე ობჩის საჯარო სკოლა,რეაბილიტაცია,"11,652.00"
იმერეთი ,ვანი,სოფ. შუაგორას საჯარო სკოლა,რეაბილიტაცია,"46,500.00"
იმერეთი ,ვანი,სოფ. ქვედა გორას საჯარო სკოლა,რეაბილიტაცია,"39,533.00"
იმერეთი ,ვანი,სოფ. ისრითის საჯარო სკოლა,რეაბილიტაცია,"19,457.00"
იმერეთი ,ვანი,სოფ. უხუთის საჯარო სკოლა,რეაბილიტაცია,"23,140.05"
იმერეთი ,ვანი,სოფ. სულორის საჯარო სკოლა,რეაბილიტაცია,"21,435.00"
იმერეთი ,ვანი, №2 საჯარო სკოლა,მომავლის კლასი,"33,794.51"
იმერეთი,წყალტუბო,სოფ. ქვიტირის საჯარო სკოლა,რეაბილიტაცია,"93,189.36"
იმერეთი,წყალტუბო,სოფ. ბანოჯის საჯარო სკოლა,რეაბილიტაცია,"65,967.03"
იმერეთი,წყალტუბო, №4 საჯარო სკოლა,რეაბილიტაცია,"41,386.17"
იმერეთი,წყალტუბო,სოფ. მესხეთის საჯარო სკოლა,რეაბილიტაცია,"222,422.61"
იმერეთი,წყალტუბო, №2 საჯარო სკოლა,მომავლის კლასი,"29,885.47"
იმერეთი,ჭიათურა, №1 საჯარო სკოლა,რეაბილიტაცია,"11,113.49"
იმერეთი,ჭიათურა, №1 საჯარო სკოლა,მომავლის კლასი,"30,895.24"
იმერეთი,ჭიათურა, №2 საჯარო სკოლა,რეაბილიტაცია,"37,308.79"
იმერეთი,ჭიათურა, №3 საჯარო სკოლა,რეაბილიტაცია,"8,293.82"
იმერეთი,ჭიათურა, №4 საჯარო სკოლა,რეაბილიტაცია,"21,889.72"
იმერეთი,ჭიათურა, №5 საჯარო სკოლა,რეაბილიტაცია,"12,000.00"
იმერეთი,ჭიათურა, №7 საჯარო სკოლა,რეაბილიტაცია,"13,648.92"
იმერეთი,ჭიათურა,სოფ. ზოდის საჯარო სკოლა,რეაბილიტაცია,"40,424.53"
იმერეთი,ჭიათურა,სოფ. მანდაეთის საჯარო სკოლა,რეაბილიტაცია,"9,193.55"
იმერეთი,ჭიათურა,სოფ. ტყემლოვანის საჯარო სკოლა,რეაბილიტაცია,"8,798.17"
იმერეთი,ჭიათურა,სოფ. ვაჭევის საჯარო სკოლა,რეაბილიტაცია,"7,301.00"
იმერეთი,ჭიათურა,სოფ. ნავარძეთის საჯარო სკოლა,რეაბილიტაცია,"7,346.53"
იმერეთი,ჭიათურა,სოფ. ქვაციხის საჯარო სკოლა,რეაბილიტაცია,"11,981.34"
