რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი, ხელშეკრულების თანხა 
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ჩარგლის საჯარო სკოლა,რეაბილიტაცია," 20,787.30 "
მცხეთა-მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ წითლიანის საჯარო სკოლა,რეაბილიტაცია," 5,740.30 "
მცხეთა-მთიანეთი,ყაზბეგი,ყაზბეგის მუნიციპალიტეტის სოფელ არშას საჯარო სკოლა,რეაბილიტაცია,"80,855.78"
მცხეთა-მთიანეთი,ყაზბეგი,დაბა სტეფანწმინდის საჯარო სკოლა,რეაბილიტაცია,"11,841.28"
მცხეთა-მთიანეთი,ყაზბეგი,ყაზბეგის მუნიციპალიტეტის გუდაურის საჯარო სკოლა,რეაბილიტაცია," 185,302.94 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ ბოჭორმის საჯარო სკოლა,რეაბილიტაცია," 9,629.51 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ სიონის საჯარო სკოლა,რეაბილიტაცია," 20,204.73 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ თოლენჯის საჯარო სკოლა,რეაბილიტაცია," 40,487.04 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ თრანის საჯარო სკოლა,რეაბილიტაცია," 25,396.72 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ ზარიძეების საჯარო სკოლა,რეაბილიტაცია," 23,744.09 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ თიანეთის #2 საჯარო სკოლა,რეაბილიტაცია," 36,111.66 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ ჟებოტას საჯარო სკოლა,რეაბილიტაცია," 45,828.71 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ ტუშურების საჯარო სკოლა,რეაბილიტაცია," 67,629.44 "
მცხეთა-მთიანეთი,თიანეთი,თიანეთის მუნიციპალიტეტის სოფელ ღულელების საჯარო სკოლა,რეაბილიტაცია," 62,621.10 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ მუხრანის საჯარო სკოლა,მშენებლობა," 1,876,000.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ მისაქციელის საჯარო სკოლა,რეაბილიტაცია,23952.14
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ მისაქციელის საჯარო სკოლა,რეაბილიტაცია,1705.77
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ მუხრანის #3 საჯარო სკოლა,რეაბილიტაცია,8354.8
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ მუხრანის #3 საჯარო სკოლა,რეაბილიტაცია,950.41
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ნავაზის საჯარო სკოლა,რეაბილიტაცია,19889.63
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ნავაზის საჯარო სკოლა,რეაბილიტაცია,1483.68
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ პატარა ქანდას საჯარო სკოლა,რეაბილიტაცია,15349.08
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ პატარა ქანდას საჯარო სკოლა,რეაბილიტაცია,1362.99
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ საგურამოს საჯარო სკოლა,რეაბილიტაცია,64515.24
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ საგურამოს საჯარო სკოლა,რეაბილიტაცია,3627.12
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ქსნის საჯარო სკოლა,რეაბილიტაცია,63793.87
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ქსნის საჯარო სკოლა,რეაბილიტაცია,3519.11
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ქსოვრისის საჯარო სკოლა,რეაბილიტაცია,74887.1
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ქსოვრისის საჯარო სკოლა,რეაბილიტაცია,3761.33
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ჩარდახის საჯარო სკოლა,რეაბილიტაცია,22719.24
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ჩარდახის საჯარო სკოლა,რეაბილიტაცია,1749.7
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ციხისძირის საჯარო სკოლა,რეაბილიტაცია,47091.67
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ციხისძირის საჯარო სკოლა,რეაბილიტაცია,3498.89
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ძალისის საჯარო სკოლა,რეაბილიტაცია,62380.29
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ძალისის საჯარო სკოლა,რეაბილიტაცია,8879.86
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ძველი ქანდას საჯარო სკოლა,რეაბილიტაცია,61938.06
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ძველი ქანდას საჯარო სკოლა,რეაბილიტაცია,6745.31
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ვაზიანის საჯარო სკოლა,რეაბილიტაცია,36430.94
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ვაზიანის საჯარო სკოლა,რეაბილიტაცია,1821.88
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ გალავნის საჯარო სკოლა,რეაბილიტაცია," 21,465.42 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ გალავნის საჯარო სკოლა,რეაბილიტაცია," 15,919.44 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ წილკნის საჯარო სკოლა,მშენებლობა," 3,057,598.00 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ბახვის საჯარო სკოლა,რეაბილიტაცია,95211.75
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ დვაბზუს საჯარო სკოლა,რეაბილიტაცია,97588.09
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ გურიანთას საჯარო სკოლა,რეაბილიტაცია,75209.84
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ მელექედურის საჯარო სკოლა,რეაბილიტაცია,52644.39
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ნასაკირალის საჯარო სკოლა,რეაბილიტაცია,28686.39
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ზემო ნატანების საჯარო სკოლა,რეაბილიტაცია," 87,278.03 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ გომის საჯარო სკოლა,რეაბილიტაცია," 27,614.33 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ კონჭკათის საჯარო სკოლა,რეაბილიტაცია," 163,143.50 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ კონჭკათის საჯარო სკოლა,რეაბილიტაცია," 71,927.80 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ნარუჯას საჯარო სკოლა,რეაბილიტაცია," 31,979.32 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ნარუჯას საჯარო სკოლა,რეაბილიტაცია," 20,110.32 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ლიხაურის საჯარო სკოლა,რეაბილიტაცია," 171,819.06 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ლიხაურის საჯარო სკოლა,რეაბილიტაცია," 103,484.99 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ნაგომარის საჯარო სკოლა,რეაბილიტაცია," 54,522.08 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ შემოქმედის საჯარო სკოლა,რეაბილიტაცია," 20,920.29 "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ შემოქმედის საჯარო სკოლა,რეაბილიტაცია," 4,080.02 "
გურია,ჩოხატაური,წიფნარის საჯარო სკოლა,მშენებლობა," 755,555.00 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ დაბლაციხის საჯარო სკოლა,რეაბილიტაცია," 75,340.57 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ შუაფარცხმას საჯარო სკოლა,რეაბილიტაცია," 101,919.35 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ბუკნარის საჯარო სკოლა,რეაბილიტაცია," 29,867.01 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ჩხაკაურას საჯარო სკოლა,რეაბილიტაცია," 7,059.07 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ამაღლების საჯარო სკოლა,რეაბილიტაცია," 145,157.32 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ გორაბერეჟოულის საჯარო სკოლა,რეაბილიტაცია," 81,392.27 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ფარცხმის საჯარო სკოლა,რეაბილიტაცია," 38,658.43 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ხიდისთავის საჯარო სკოლა,რეაბილიტაცია," 26,648.19 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ვანზომლეთის საჯარო სკოლა (ზომლეთის დაწყებითი),რეაბილიტაცია," 55,301.10 "
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ნიგოითის (ჩოლობარგი) საჯარო სკოლა,რეაბილიტაცია,171274.22
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ნიგოითის საჯარო სკოლა,რეაბილიტაცია,89265.87
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ მამათის საჯარო სკოლა,რეაბილიტაცია,40484.36
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ მამათის (კონჭკათის) საჯარო სკოლა,რეაბილიტაცია,63513.44
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ჩონჩხათის საჯარო სკოლა,რეაბილიტაცია," 49,050.11 "
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ აკეთის  საჯარო სკოლა,რეაბილიტაცია,115958.32
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ნიგვზიანის (არჩეულის)  საჯარო სკოლა,რეაბილიტაცია,52113.53
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ნიგვზიანის საჯარო სკოლა,რეაბილიტაცია,192391.67
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ნინოშვილის საჯარო სკოლა,რეაბილიტაცია,41682.32
გურია,ლანჩხუთი,ლანჩხუთის მუნიციპალიტეტის სოფელ ქვემო აკეთის  საჯარო სკოლა,რეაბილიტაცია," 62,738.16 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ საგურამოს საჯარო სკოლა,გაზიფიცირება," 5,120.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ქსოვრისის საჯარო სკოლა,გაზიფიცირება," 6,801.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ვაზიანის საჯარო სკოლა,გაზიფიცირება," 4,300.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ციხისძირის საჯარო სკოლა,გაზიფიცირება," 5,023.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ქსნის საჯარო სკოლა,გაზიფიცირება," 8,530.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ძალისის საჯარო სკოლა,გაზიფიცირება," 4,298.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ძველი ქანდის საჯარო სკოლა,გაზიფიცირება," 7,526.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ მუხრანის №3 საჯარო სკოლა,გაზიფიცირება," 5,578.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ჩარდახის საჯარო სკოლა,გაზიფიცირება," 3,012.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ნავაზის საჯარო სკოლა,გაზიფიცირება," 2,793.00 "
მცხეთა-მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ პატარა ქანდის საჯარო სკოლა,გაზიფიცირება," 2,198.00 "
შიდა ქართლი,ქარელი,ქარელის მუნიციპალიტეტის სოფელ ბრეთის საჯარო სკოლა,გაზიფიცირება," 5,640.00 "
შიდა ქართლი,ქარელი,ქარელის მუნიციპალიტეტის სოფელ რუისის №2 საჯარო სკოლა,გაზიფიცირება," 9,982.00 "
შიდა ქართლი,ქარელი,ქარელის მუნიციპალიტეტის სოფელ საღოლაშენის საჯარო სკოლა,გაზიფიცირება," 4,510.00 "
ქვემო ქართლი,წალკა,ქალაქ წალკის №1 საჯარო სკოლა,გაზიფიცირება," 6,387.00 "
ქვემო ქართლი,დმანისი,დმანისის მუნიციპალიტეტის სოფელ მაშავერას საჯარო სკოლა,გაზიფიცირება," 7,611.00 "
ქვემო ქართლი,თეთრიწყარო,თეთრიწყაროს მუნიციპალიტეტის სოფელ ხაიშის საჯარო სკოლა,გაზიფიცირება," 7,350.00 "
ქვემო ქართლი,თეთრიწყარო,თეთრიწყაროს მუნიციპალიტეტის სოფელ ქოსალარის საჯარო სკოლა,გაზიფიცირება," 2,659.00 "
ქვემო ქართლი,თეთრიწყარო,თეთრიწყაროს მუნიციპალიტეტის სოფელ წინწყაროს საჯარო სკოლა,გაზიფიცირება," 5,976.00 "
ქვემო ქართლი,თეთრიწყარო,თეთრიწყაროს მუნიციპალიტეტის სოფელ სამშვილდის საჯარო სკოლა,გაზიფიცირება," 5,986.00 "
ქვემო ქართლი,ბოლნისი,ბოლნისის მუნიციპალიტეტის დაბა კაზრეთის №1 საჯარო სკოლა,გაზიფიცირება," 7,325.00 "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ შუაფარცხმის საჯარო სკოლა,გაზიფიცირება," 2,204.00 "
სამცხე-ჯავახეთი,ასპინძა,ასპინძის მუნიციპალიტეტის სოფელ ხიზაბავრის საჯარო სკოლა,გაზიფიცირება," 3,253.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის  №215 საჯარო სკოლა,გაზიფიცირება," 4,826.00 "
სამცხე-ჯავახეთი,ახალქალაქი,ახალქალაქის მუნიციპალიტეტის სოფელ აგანის საჯარო სკოლა,გაზიფიცირება," 25,796.00 "
სამცხე-ჯავახეთი,ახალქალაქი,ახალქალაქის მუნიციპალიტეტის სოფელ ალასტანის საჯარო სკოლა,გაზიფიცირება," 9,525.00 "
სამცხე-ჯავახეთი,ახალქალაქი,ქალაქ ახალქალაქის №1 საჯარო სკოლა,გაზიფიცირება," 7,682.00 "
სამცხე-ჯავახეთი,ახალქალაქი,ქალაქ ახალქალაქის №4 საჯარო სკოლა,გაზიფიცირება," 4,000.00 "
სამცხე-ჯავახეთი,ახალქალაქი,ქალაქ ახალქალაქის №5 საჯარო სკოლა,გაზიფიცირება," 12,322.00 "
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ რველის საჯარო სკოლა,გაზიფიცირება," 2,940.00 "
სამცხე-ჯავახეთი,ნინოწმინდა,ნინოწმინდის მუნიციპალიტეტის სოფელ დიდი კონდურის საჯარო სკოლა,გაზიფიცირება," 5,565.00 "
სამცხე-ჯავახეთი,ნინოწმინდა,ნინოწმინდის მუნიციპალიტეტის სოფელ დილიფის საჯარო სკოლა,გაზიფიცირება," 4,300.00 "
სამცხე-ჯავახეთი,ნინოწმინდა,ნინოწმინდის მუნიციპალიტეტის სოფელ ჰეშტიის №1 საჯარო სკოლა,გაზიფიცირება," 11,070.00 "
სამცხე-ჯავახეთი,ბორჯომი,ბორჯომის მუნიციპალიტეტის სოფელ კორტანეთის საჯარო სკოლა,გაზიფიცირება," 2,172.00 "
სამცხე-ჯავახეთი,ბორჯომი,ქალაქ ბორჯომის ლიკანის საჯარო სკოლა,გაზიფიცირება," 7,198.00 "
სამცხე-ჯავახეთი,ნინოწმინდა,ნინოწმინდის მუნიციპალიტეტის სოფელ სათხის საჯარო სკოლა,გაზიფიცირება," 9,443.00 "
სამცხე-ჯავახეთი,ნინოწმინდა,ნინოწმინდის მუნიციპალიტეტის სოფელ ჯიგრაშენიის საჯარო სკოლა,გაზიფიცირება," 6,968.00 "
სამცხე-ჯავახეთი,ახალციხე,ქალაქ ახალციხის №2 საჯარო სკოლა,გაზიფიცირება," 15,980.00 "
სამცხე-ჯავახეთი,ახალციხე,ქალაქ ახალციხის №7 საჯარო სკოლა,გაზიფიცირება," 16,021.99 "
სამცხე-ჯავახეთი,ასპინძა,ასპინძის მუნიციპალიტეტის სოფელ დამალას საჯარო სკოლა,გაზიფიცირება," 13,015.00 "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,"სსიპ პროფესიული კოლეჯი ,,ერქვანი""",გაზიფიცირება," 9,887.00 "
იმერეთი,ვანი,მუქედის საჯარო სკოლა,გაზიფიცირება,2419.05
იმერეთი,ვანი,ტობანიერის საჯარო სკოლა,გაზიფიცირება,5937.55
იმერეთი,ზესტაფონი,ზესტაფონის #2 საჯარო სკოლა,გაზიფიცირება,6144.62
იმერეთი,ზესტაფონი,ზესტაფონის #3 საჯარო სკოლა,გაზიფიცირება,10093.92
იმერეთი,ზესტაფონი,ქვედა საქარას საჯარო სკოლა,გაზიფიცირება,4362.62
კახეთი,თელავი,თელავის #1 საჯარო სკოლა,გაზიფიცირება,9154
სამეგრელო-ზემო სვანეთი,ზუგდიდი,ზუგდიდის #8 საჯარო სკოლა,გაზიფიცირება,3232.56
შიდა ქართლი,გორი,დიცის საჯარო სკოლა,გაზიფიცირება,17351.3
თბილისი,ისანი-სამგორი,#217 საჯარო სკოლა,გაზიფიცირება,5028.56
