რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
გურია,ჩოხატაური,ქვაბღის საჯარო სკოლა,პროექტირება/მშენებლობა," 607,158.00 "," 607,158.00 "
იმერეთი,სამტრედია,№15 საჯარო სკოლა,რეაბილიტაცია," 650,000.00 "," 399,000.00 "
იმერეთი,ტყიბული,მუხურას საჯარო სკოლა,პროექტირება/მშენებლობა," 593,459.00 "," 593,459.07 "
იმერეთი,ქუთაისი,№45 საჯარო სკოლა,რეაბილიტაცია," 104,321.00 "," 73,000.00 "
იმერეთი,ჭიათურა,№12 საჯარო სკოლა,რეაბილიტაცია," 109,480.00 "," 83,000.00 "
კახეთი,გურჯაანი,მელაანის საჯარო სკოლა,პროექტირება/მშენებლობა," 1,344,402.45 "," 1,344,402.45 "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,"პროფესიული კოლეჯი ,,ერქვანი""",რეაბილიტაცია,,
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,ჟახუნდარას საჯარო სკოლა,პროექტირება/მშენებლობა,,
სამეგრელო-ზემო სვანეთი,მარტვილი,სალხინოს საჯარო სკოლა,პროექტირება/მშენებლობა," 881,570.00 "," 769,777.00 "
სამეგრელო-ზემო სვანეთი,სენაკი,ნოქალაქევის საჯარო სკოლა,პროექტირება/მშენებლობა," 1,956,956.74 "," 1,956,956.74 "
სამეგრელო-ზემო სვანეთი,ფოთი,№3 საჯარო სკოლა,რეაბილიტაციის დასრულება," 240,000.00 "," 146,957.70 "
სამეგრელო-ზემო სვანეთი,ფოთი,№3 საჯარო სკოლა,ელექტროობა–კანალიზაცია," 10,000.00 "," 9,800.00 "
სამეგრელო-ზემო სვანეთი,ჩხოროწყუ,ახუთის საჯარო სკოლა,მშენებლობა," 798,000.00 "," 789,281.39 "
სამცხე–ჯავახეთი,ახალქალაქი,№3 საჯარო სკოლა,პროექტირება/მშენებლობა," 3,888,500.00 "," 2,777,777.00 "
სამცხე–ჯავახეთი,ახალციხე,№5 საჯარო სკოლა,კორპუსის მშენებლობა,,
სამცხე–ჯავახეთი,ახალციხე,№5 საჯარო სკოლა,საპროექტო–სახარჯთაღრიცხვო დოკუმენტაციის შესყიდვა," 30,000.00 "," 9,910.00 "
სამცხე–ჯავახეთი,ახალციხე,№5 საჯარო სკოლა,გეოლოგია," 7,000.00 "," 5,500.00 "
სამცხე–ჯავახეთი,ახალციხე,№7 საჯარო სკოლა,რეაბილიტაცია," 350,000.00 ",
ქვემო ქართლი,დმანისი,ქვემო ოროზმანის საჯარო სკოლა,სახურავის რეაბილიტაცია," 52,500.00 "," 52,500.00 "
ქვემო ქართლი,რუსთავი,№12 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 2,700.00 "," 2,700.00 "
ქვემო ქართლი,რუსთავი,№17 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 4,700.00 "," 4,700.00 "
ქვემო ქართლი,გარდაბანი,ვაზიანის საჯარო,წყალგაყვანილობა–კანალიზაცია," 57,000.00 "," 41,700.00 "
თბილისი,ისანი-სამგორი,№86 საჯარო სკოლა,გაზმომარაგების ქსელის მოწყობა," 17,600.00 ",
სამცხე–ჯავახეთი,ნინოწმინდა,სოფ.სათხის საჯარო სკოლა,რეაბილიტაცია," 85,250.00 "," 57,775.00 "
სამცხე–ჯავახეთი,ნინოწმინდა,სოფ. სპასოვკის # 2 საჯარო  სკოლა,რეაბილიტაცია," 21,750.00 "," 21,281.00 "
სამცხე–ჯავახეთი,ბორჯომი,სოფ.ბალანთის საჯარო სკოლა,რეაბილიტაცია," 11,450.00 "," 11,138.00 "
სამცხე–ჯავახეთი,ბორჯომი,დაბა წაღვერის საჯარო სკოლა,რეაბილიტაცია," 33,999.90 "," 24,460.86 "
სამცხე–ჯავახეთი,ახალქალაქი,სოფ. აზავრეთის საჯარო სკოლა,რეაბილიტაცია," 8,996.34 "," 8,485.00 "
სამცხე–ჯავახეთი,ახალქალაქი,სოფ. არაგვას საჯარო სკოლა,რეაბილიტაცია," 58,961.52 "," 48,888.00 "
სამცხე–ჯავახეთი,ახალქალაქი,ბურნაშეთის საჯარო სკოლა,რეაბილიტაცია," 22,841.16 ",
სამცხე–ჯავახეთი,ახალციხე,სოფ. აწყურის საჯარო სკოლა,რეაბილიტაცია," 68,966.15 "," 52,000.00 "
სამცხე–ჯავახეთი,ასპინძა,სოფ. ტოლოშის საჯარო სკოლა,რეაბილიტაცია," 34,050.00 "," 28,799.00 "
სამცხე–ჯავახეთი,ასპინძა,სოფ. ხერთვისის საჯარო სკოლა,რეაბილიტაცია," 10,074.00 "," 9,000.00 "
სამცხე–ჯავახეთი,ადიგენი,სოფ.  სმადის საჯარო სკოლა,რეაბილიტაცია," 46,296.60 "," 38,000.00 "
სამცხე–ჯავახეთი,ადიგენი,სოფ. ზანავის საჯარო სკოლა,რეაბილიტაცია," 19,994.40 "," 14,700.00 "
სამცხე–ჯავახეთი,ადიგენი,სოფ.ზარზმის საჯაროსკოლა,რეაბილიტაცია," 108,014.09 "," 79,899.00 "
,,,რეაბილიტაცია," 26,357.00 ",
გურია,ოზურგეთი,ქ. ოზურგეთის #1 საჯარო სკოლა,რეაბილიტაცია," 84,957.22 "," 77,777.00 "
გურია,ოზურგეთი,სოფ. დვაბზუს საჯარო სკოლა,რეაბილიტაცია," 7,000.00 "," 6,000.00 "
გურია,ოზურგეთი,სოფ. მერიის საჯარო სკოლა,რეაბილიტაცია," 4,400.00 "," 4,175.50 "
გურია,ოზურგეთი,სოფ. თხინვალის საჯარო სკოლა,რეაბილიტაცია," 7,194.33 "," 6,998.00 "
გურია,ოზურგეთი,სოფ. ბახვის საჯარო სკოლა,რეაბილიტაცია," 5,600.00 "," 5,000.00 "
გურია,ოზურგეთი,სოფ. ოზურგეთის საჯარო სკოლა,რეაბილიტაცია," 5,000.00 "," 4,700.00 "
გურია,ოზურგეთი,სოფ. გურიანეთის საჯარო სკოლა,რეაბილიტაცია," 4,800.00 "," 4,600.00 "
გურია,ოზურგეთი,სოფ. ციხისფერდის საჯარო სკოლა,რეაბილიტაცია," 2,000.00 "," 1,800.00 "
გურია,ოზურგეთი,სოფ. ჯუმითის საჯარო სკოლა,რეაბილიტაცია," 4,000.00 "," 3,800.00 "
გურია,ლანჩხუთი,"სოფ. სუფსის საჯარო სკოლის _x000D_
დაწყებითი კლასების კორპუსი",რეაბილიტაცია," 24,999.14 "," 16,700.00 "
გურია,ჩოხატაური,სოფ. განახლების საჯარო სკოლა,რეაბილიტაცია," 24,475.19 "," 23,476.00 "
გურია,ჩოხატაური,სოფ. შუასურების საჯარო სკოლა,რეაბილიტაცია," 16,497.65 "," 10,500.00 "
გურია,ჩოხატაური,სოფ. ნაბეღლავის საჯარო სკოლა,რეაბილიტაცია," 8,995.09 "," 5,430.00 "
კახეთი,ახმეტა,სოფ. მაღრაანის საჯარო სკოლა,რეაბილიტაცია," 50,395.94 "," 35,976.78 "
კახეთი,ახმეტა,სოფ.ოჟიოს საჯარო სკოლა,რეაბილიტაცია," 11,990.62 "," 11,989.53 "
კახეთი,გურჯაანი,სოგ.ვეჯინის საჯარო სკოლა,რეაბილიტაცია," 62,500.00 "," 50,799.90 "
კახეთი,გურჯაანი,მელაანის საჯარო სკოლა,რეაბილიტაცია," 14,400.00 ",
კახეთი,დედოფლისწყარო,სოფ.ფიროსმანის საჯარო სკოლა,რეაბილიტაცია," 33,205.00 "," 32,090.00 "
კახეთი,დედოფლისწყარო,სოფ.საბათლოს საჯარო სკოლა,რეაბილიტაცია," 29,484.00 "," 28,199.00 "
კახეთი,ლაგოდეხი,სოფ.კართუბნის საჯარო სკოლა,რეაბილიტაცია," 62,487.21 "," 59,950.00 "
კახეთი,საგარეჯო,სოფ. ბოგდანოვკის საჯარო სკოლა,რეაბილიტაცია," 58,476.00 "," 42,150.00 "
