რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
ქვემო ქართლი,რუსთავი,№18  საჯარო სკოლა,რეაბილიტაცია," 9,952.00 "," 8,414.00 "
ქვემო ქართლი,რუსთავი,№26  საჯარო სკოლა,რეაბილიტაცია," 24,528.00 "," 23,760.00 "
ქვემო ქართლი,რუსთავი,№28  საჯარო სკოლა,რეაბილიტაცია," 14,386.00 "," 13,939.00 "
ქვემო ქართლი,რუსთავი,№3  საჯარო სკოლა,რეაბილიტაცია," 2,999.00 "," 2,382.00 "
ქვემო ქართლი,რუსთავი,№2  საჯარო სკოლა,რეაბილიტაცია," 9,293.00 "," 8,050.00 "
ქვემო ქართლი,რუსთავი,№14  საჯარო სკოლა,რეაბილიტაცია," 21,180.00 "," 17,480.00 "
ქვემო ქართლი,რუსთავი,№6  საჯარო სკოლა,რეაბილიტაცია," 17,040.00 "," 15,416.00 "
ქვემო ქართლი,დმანისი,№2  საჯარო სკოლა,რეაბილიტაცია," 12,691.00 "," 12,691.00 "
ქვემო ქართლი,დმანისი,სოფ. კამარლოს საჯარო სკოლა,რეაბილიტაცია," 20,507.00 "," 20,495.00 "
ქვემო ქართლი,დმანისი,სოფ. ზემო ოროზმანის საჯარო სკოლა,რეაბილიტაცია," 15,195.00 "," 15,195.00 "
ქვემო ქართლი,დმანისი,ბოსლების საჯარო სკოლა,რეაბილიტაცია," 30,225.00 "," 30,225.00 "
ქვემო ქართლი,მარნეული,სოფ. თაზაქენდის №1 საჯარო სკოლა,რეაბილიტაცია," 29,999.00 "," 28,873.00 "
ქვემო ქართლი,გარდაბანი,სოფ. მუღანლოს საჯარო სკოლა,რეაბილიტაცია," 49,999.77 "," 46,555.00 "
ქვემო ქართლი,თეთრიწყარო,სოფ.ბორბალოს საჯარო სკოლა,რეაბილიტაცია," 13,679.70 "," 13,307.11 "
ქვემო ქართლი,თეთრიწყარო,სოფ. ღოუბნის საჯარო სკოლა,რეაბილიტაცია," 25,779.31 "," 25,224.31 "
ქვემო ქართლი,წალკა,სოფ. ბეშთაშენის საჯარო სკოლა,რეაბილიტაცია," 40,000.00 "," 34,888.00 "
სამეგრელო-ზემო სვანეთი,მესტია,დაბა მესტიის №1 საჯარო სკოლა,რეაბილიტაცია," 131,645.42 "," 118,000.00 "
სამეგრელო-ზემო სვანეთი,მესტია,სოფ. უშგულის საჯარო სკოლა,რეაბილიტაცია," 80,830.92 "," 77,777.00 "
სამეგრელო-ზემო სვანეთი,მესტია,სოფ. ლენჯერის №1 საჯარო სკოლა,რეაბილიტაცია," 149,998.60 "," 140,900.00 "
სამეგრელო-ზემო სვანეთი,მესტია,სოფ. ლატალის საჯარო სკოლა,რეაბილიტაცია," 89,801.57 "," 85,749.00 "
სამეგრელო-ზემო სვანეთი,მესტია,სოფ. ჭუბერის საჯარო სკოლა,რეაბილიტაცია," 29,823.99 "," 28,932.00 "
სამეგრელო-ზემო სვანეთი,წალენჯიხა,ჯვარის №3  საჯარო სკოლა,რეაბილიტაცია," 99,951.60 "," 78,400.00 "
სამეგრელო-ზემოსვანეთი,ზუგდიდი,№9  საჯარო სკოლა,რეაბილიტაცია," 58,985.12 "," 53,950.00 "
სამეგრელო-ზემოსვანეთი,ზუგდიდი,№4  საჯარო სკოლა,რეაბილიტაცია," 128,714.45 "," 125,963.05 "
სამეგრელო-ზემო სვანეთი,foTi,profesiuli saswavlebeli,რეაბილიტაცია," 174,587.80 ",
სამეგრელო-ზემო სვანეთი,zugdidi,orulus sajaro skola,რეაბილიტაცია," 19,828.54 ",
სამეგრელო-ზემო სვანეთი,Cxorowyu,axuTis #1 sajaro skola,რეაბილიტაცია," 19,335.00 ",
თბილისი,დიდუბე–ჩუღურეთი,№4  საჯარო სკოლა,," 48,116.72 "," 46,380.00 "
თბილისი,ძველი თბილისი,№18  საჯარო სკოლა,," 48,919.10 "," 45,439.34 "
თბილისი,ძველი თბილისი,№24  საჯარო სკოლა,," 106,277.00 "," 85,694.00 "
თბილისი,ძველი თბილისი,№63  საჯარო სკოლა,," 75,437.24 "," 60,000.00 "
თბილისი,დიდუბე–ჩუღურეთი,№116  საჯარო სკოლა,," 52,965.15 "," 42,500.00 "
თბილისი,ვაკე–საბურთალო,№62  საჯარო სკოლა,," 52,852.55 "," 42,468.37 "
თბილისი,ვაკე–საბურთალო,№122  საჯარო სკოლა,," 51,065.25 "," 49,452.00 "
თბილისი,ვაკე–საბურთალო,№151  საჯარო სკოლა,," 50,131.32 "," 29,760.00 "
თბილისი,ვაკე–საბურთალო,№171  საჯარო სკოლა,," 50,884.26 "," 41,004.00 "
თბილისი,ვაკე–საბურთალო,№203  საჯარო სკოლა,," 110,745.31 "," 83,499.00 "
თბილისი,ისანი–სამგორი,№107  საჯარო სკოლა,," 50,834.28 "," 48,555.00 "
თბილისი,ისანი–სამგორი,№182  საჯარო სკოლა,," 50,589.00 "," 41,700.00 "
თბილისი,ძველი თბილისი,№202  საჯარო სკოლა,," 101,000.05 "," 76,999.00 "
თბილისი,ისანი–სამგორი,№86  საჯარო სკოლა,, 690.00 , 690.00 
თბილისი,გლდანი–ნაძალადევი,№10  საჯარო სკოლა,," 55,456.24 "," 6,499.73 "
,,,,," 45,331.00 "
თბილისი,გლდანი–ნაძალადევი,№14  საჯარო სკოლა,," 50,693.03 "," 47,955.00 "
თბილისი,გლდანი–ნაძალადევი,№112  საჯარო სკოლა,," 87,827.72 "," 77,498.00 "
